week_start,area,rainfall_mm,rainfall_lag1,rainfall_lag2,rainfall_lag3,rainfall_lag4,dengue_cases,rainfall_roll2w,rainfall_roll4w,rainfall_roll4w_sum,week_of_year,sin_week,cos_week,cases_lag1
2022-12-19,Ang Mo Kio,166.9,309.2,184.7,151.2,182.0,23,238.04999999999995,202.99999999999997,811.9999999999999,51,-0.12053668025532363,0.992708874098054,12.0
2022-12-26,Ang Mo Kio,217.9,166.9,309.2,184.7,151.2,12,192.39999999999998,219.675,878.7,52,6.432490598706546e-16,1.0,23.0
2023-01-02,Ang Mo Kio,325.2,217.9,166.9,309.2,184.7,7,271.54999999999995,254.79999999999998,1019.1999999999999,1,0.12053668025532305,0.992708874098054,12.0
2023-01-09,Ang Mo Kio,234.2,325.2,217.9,166.9,309.2,15,279.7,236.05,944.2,2,0.23931566428755774,0.970941817426052,7.0
2023-01-16,Ang Mo Kio,253.9,234.2,325.2,217.9,166.9,11,244.04999999999995,257.8,1031.2,3,0.3546048870425356,0.9350162426854148,15.0
2023-01-23,Ang Mo Kio,286.5,253.9,234.2,325.2,217.9,18,270.19999999999993,274.95,1099.8,4,0.4647231720437685,0.8854560256532099,11.0
2023-01-30,Ang Mo Kio,270.1,286.5,253.9,234.2,325.2,18,278.29999999999995,261.175,1044.7,5,0.5680647467311558,0.8229838658936564,18.0
2023-02-06,Ang Mo Kio,121.3,270.1,286.5,253.9,234.2,19,195.7,232.95,931.8,6,0.6631226582407952,0.7485107481711011,18.0
2023-02-13,Ang Mo Kio,189.9,121.3,270.1,286.5,253.9,13,155.59999999999997,216.95,867.8,7,0.7485107481711011,0.6631226582407953,19.0
2023-02-20,Ang Mo Kio,214.7,189.9,121.3,270.1,286.5,29,202.29999999999995,199.0,796.0,8,0.8229838658936564,0.5680647467311559,13.0
2023-02-27,Ang Mo Kio,220.0,214.7,189.9,121.3,270.1,17,217.34999999999997,186.475,745.9,9,0.8854560256532099,0.4647231720437686,29.0
2023-03-06,Ang Mo Kio,159.6,220.0,214.7,189.9,121.3,17,189.79999999999995,196.05,784.2,10,0.9350162426854148,0.35460488704253557,17.0
2023-03-13,Ang Mo Kio,220.1,159.6,220.0,214.7,189.9,17,189.84999999999997,203.59999999999997,814.3999999999999,11,0.970941817426052,0.23931566428755804,17.0
2023-03-20,Ang Mo Kio,259.8,220.1,159.6,220.0,214.7,17,239.95,214.875,859.5,12,0.992708874098054,0.120536680255323,17.0
2023-03-27,Ang Mo Kio,209.5,259.8,220.1,159.6,220.0,18,234.64999999999995,212.25,849.0,13,1.0,-1.6081226496766364e-16,17.0
2023-04-03,Ang Mo Kio,224.1,209.5,259.8,220.1,159.6,22,216.79999999999995,228.375,913.5,14,0.992708874098054,-0.12053668025532288,18.0
2023-04-10,Ang Mo Kio,170.9,224.1,209.5,259.8,220.1,22,197.49999999999997,216.07500000000002,864.3000000000001,15,0.9709418174260521,-0.2393156642875575,22.0
2023-04-17,Ang Mo Kio,226.8,170.9,224.1,209.5,259.8,24,198.84999999999997,207.825,831.3,16,0.9350162426854148,-0.35460488704253545,22.0
2023-04-24,Ang Mo Kio,170.3,226.8,170.9,224.1,209.5,17,198.54999999999998,198.025,792.1,17,0.8854560256532099,-0.4647231720437685,24.0
2023-05-01,Ang Mo Kio,159.7,170.3,226.8,170.9,224.1,17,164.99999999999997,181.925,727.7,18,0.8229838658936565,-0.5680647467311557,17.0
2023-05-08,Ang Mo Kio,256.9,159.7,170.3,226.8,170.9,12,208.29999999999995,203.425,813.7,19,0.7485107481711013,-0.663122658240795,17.0
2023-05-15,Ang Mo Kio,267.4,256.9,159.7,170.3,226.8,15,262.15,213.575,854.3,20,0.6631226582407952,-0.7485107481711012,12.0
2023-05-22,Ang Mo Kio,178.2,267.4,256.9,159.7,170.3,16,222.79999999999995,215.54999999999998,862.1999999999999,21,0.5680647467311558,-0.8229838658936564,15.0
2023-05-29,Ang Mo Kio,185.3,178.2,267.4,256.9,159.7,22,181.74999999999997,221.95,887.8,22,0.46472317204376906,-0.8854560256532096,16.0
2023-06-05,Ang Mo Kio,171.9,185.3,178.2,267.4,256.9,11,178.59999999999997,200.7,802.8,23,0.35460488704253584,-0.9350162426854147,22.0
2023-06-12,Ang Mo Kio,177.6,171.9,185.3,178.2,267.4,8,174.74999999999997,178.25,713.0,24,0.23931566428755768,-0.970941817426052,11.0
2023-06-19,Ang Mo Kio,144.2,177.6,171.9,185.3,178.2,20,160.89999999999998,169.75,679.0,25,0.12053668025532308,-0.992708874098054,8.0
2023-06-26,Ang Mo Kio,158.3,144.2,177.6,171.9,185.3,11,151.24999999999997,163.0,652.0,26,-3.216245299353273e-16,-1.0,20.0
2023-07-03,Ang Mo Kio,118.0,158.3,144.2,177.6,171.9,11,138.14999999999998,149.525,598.1,27,-0.12053668025532283,-0.992708874098054,11.0
2023-07-10,Ang Mo Kio,193.0,118.0,158.3,144.2,177.6,16,155.49999999999997,153.375,613.5,28,-0.23931566428755743,-0.9709418174260521,11.0
2023-07-17,Ang Mo Kio,65.5,193.0,118.0,158.3,144.2,18,129.24999999999997,133.7,534.8,29,-0.3546048870425356,-0.9350162426854148,16.0
2023-07-24,Ang Mo Kio,155.7,65.5,193.0,118.0,158.3,15,110.59999999999997,133.05,532.2,30,-0.46472317204376806,-0.8854560256532101,18.0
2023-07-31,Ang Mo Kio,147.6,155.7,65.5,193.0,118.0,11,151.64999999999998,140.45,561.8,31,-0.5680647467311556,-0.8229838658936565,15.0
2023-08-07,Ang Mo Kio,176.6,147.6,155.7,65.5,193.0,7,162.09999999999997,136.35,545.4,32,-0.663122658240795,-0.7485107481711013,11.0
2023-08-14,Ang Mo Kio,133.2,176.6,147.6,155.7,65.5,10,154.89999999999998,153.27499999999998,613.0999999999999,33,-0.7485107481711011,-0.6631226582407952,7.0
2023-08-21,Ang Mo Kio,142.0,133.2,176.6,147.6,155.7,11,137.59999999999997,149.85,599.4,34,-0.8229838658936564,-0.5680647467311559,10.0
2023-08-28,Ang Mo Kio,82.1,142.0,133.2,176.6,147.6,16,112.04999999999997,133.475,533.9,35,-0.8854560256532096,-0.4647231720437691,11.0
2023-09-04,Ang Mo Kio,170.8,82.1,142.0,133.2,176.6,13,126.44999999999997,132.025,528.1,36,-0.9350162426854147,-0.3546048870425359,16.0
2023-09-11,Ang Mo Kio,125.1,170.8,82.1,142.0,133.2,9,147.95,130.0,520.0,37,-0.970941817426052,-0.23931566428755774,13.0
2023-09-18,Ang Mo Kio,116.1,125.1,170.8,82.1,142.0,11,120.59999999999997,123.525,494.1,38,-0.992708874098054,-0.12053668025532357,9.0
2023-09-25,Ang Mo Kio,208.9,116.1,125.1,170.8,82.1,13,162.49999999999997,155.225,620.9,39,-1.0,-1.8369701987210297e-16,11.0
2023-10-02,Ang Mo Kio,218.8,208.9,116.1,125.1,170.8,9,213.84999999999997,167.22500000000002,668.9000000000001,40,-0.992708874098054,0.1205366802553232,13.0
2023-10-09,Ang Mo Kio,249.6,218.8,208.9,116.1,125.1,12,234.2,198.35,793.4,41,-0.9709418174260521,0.23931566428755738,9.0
2023-10-16,Ang Mo Kio,244.6,249.6,218.8,208.9,116.1,13,247.09999999999997,230.475,921.9,42,-0.9350162426854148,0.35460488704253557,12.0
2023-10-23,Ang Mo Kio,203.8,244.6,249.6,218.8,208.9,17,224.2,229.2,916.8,43,-0.8854560256532101,0.464723172043768,13.0
2023-10-30,Ang Mo Kio,206.6,203.8,244.6,249.6,218.8,8,205.2,226.15,904.6,44,-0.822983865893657,0.5680647467311548,17.0
2023-11-06,Ang Mo Kio,216.9,206.6,203.8,244.6,249.6,13,211.74999999999997,217.97500000000002,871.9000000000001,45,-0.7485107481711011,0.6631226582407952,8.0
2023-11-13,Ang Mo Kio,287.7,216.9,206.6,203.8,244.6,15,252.29999999999995,228.75,915.0,46,-0.6631226582407955,0.7485107481711007,13.0
2023-11-20,Ang Mo Kio,295.1,287.7,216.9,206.6,203.8,7,291.4,251.57500000000002,1006.3000000000001,47,-0.5680647467311559,0.8229838658936564,15.0
2023-11-27,Ang Mo Kio,275.3,295.1,287.7,216.9,206.6,16,285.2,268.75,1075.0,48,-0.4647231720437684,0.88545602565321,7.0
2023-12-04,Ang Mo Kio,290.9,275.3,295.1,287.7,216.9,15,283.09999999999997,287.25,1149.0,49,-0.35460488704253595,0.9350162426854147,16.0
2023-12-11,Ang Mo Kio,334.9,290.9,275.3,295.1,287.7,19,312.9,299.05,1196.2,50,-0.2393156642875578,0.970941817426052,15.0
2023-12-18,Ang Mo Kio,280.6,334.9,290.9,275.3,295.1,12,307.75,295.425,1181.7,51,-0.12053668025532363,0.992708874098054,19.0
2023-12-25,Ang Mo Kio,289.3,280.6,334.9,290.9,275.3,25,284.95,298.925,1195.7,52,6.432490598706546e-16,1.0,12.0
2024-01-01,Ang Mo Kio,179.9,289.3,280.6,334.9,290.9,23,234.59999999999997,271.175,1084.7,1,0.12053668025532305,0.992708874098054,25.0
2024-01-08,Ang Mo Kio,297.9,179.9,289.3,280.6,334.9,19,238.89999999999995,261.925,1047.7,2,0.23931566428755774,0.970941817426052,23.0
2024-01-15,Ang Mo Kio,286.3,297.9,179.9,289.3,280.6,14,292.0999999999999,263.34999999999997,1053.3999999999999,3,0.3546048870425356,0.9350162426854148,19.0
2024-01-22,Ang Mo Kio,312.3,286.3,297.9,179.9,289.3,8,299.29999999999995,269.1,1076.4,4,0.4647231720437685,0.8854560256532099,14.0
2024-01-29,Ang Mo Kio,301.0,312.3,286.3,297.9,179.9,23,306.65,299.375,1197.5,5,0.5680647467311558,0.8229838658936564,8.0
2024-02-05,Ang Mo Kio,184.3,301.0,312.3,286.3,297.9,25,242.64999999999995,270.975,1083.9,6,0.6631226582407952,0.7485107481711011,23.0
2024-02-12,Ang Mo Kio,143.6,184.3,301.0,312.3,286.3,23,163.94999999999993,235.3,941.2,7,0.7485107481711011,0.6631226582407953,25.0
2024-02-19,Ang Mo Kio,165.2,143.6,184.3,301.0,312.3,18,154.39999999999992,198.525,794.1,8,0.8229838658936564,0.5680647467311559,23.0
2024-02-26,Ang Mo Kio,224.8,165.2,143.6,184.3,301.0,18,194.99999999999994,179.475,717.9,9,0.8854560256532099,0.4647231720437686,18.0
2024-03-04,Ang Mo Kio,203.1,224.8,165.2,143.6,184.3,14,213.94999999999993,184.17499999999998,736.6999999999999,10,0.9350162426854148,0.35460488704253557,18.0
2024-03-11,Ang Mo Kio,230.6,203.1,224.8,165.2,143.6,17,216.84999999999994,205.925,823.7,11,0.970941817426052,0.23931566428755804,14.0
2024-03-18,Ang Mo Kio,158.6,230.6,203.1,224.8,165.2,17,194.59999999999994,204.27499999999998,817.0999999999999,12,0.992708874098054,0.120536680255323,17.0
2024-03-25,Ang Mo Kio,193.7,158.6,230.6,203.1,224.8,22,176.14999999999992,196.5,786.0,13,1.0,-1.6081226496766364e-16,17.0
2024-04-01,Ang Mo Kio,221.1,193.7,158.6,230.6,203.1,9,207.39999999999992,201.0,804.0,14,0.992708874098054,-0.12053668025532288,22.0
2024-04-08,Ang Mo Kio,267.0,221.1,193.7,158.6,230.6,10,244.04999999999993,210.1,840.4,15,0.9709418174260521,-0.2393156642875575,9.0
2024-04-15,Ang Mo Kio,189.4,267.0,221.1,193.7,158.6,21,228.19999999999993,217.79999999999998,871.1999999999999,16,0.9350162426854148,-0.35460488704253545,10.0
2024-04-22,Ang Mo Kio,192.0,189.4,267.0,221.1,193.7,18,190.69999999999993,217.375,869.5,17,0.8854560256532099,-0.4647231720437685,21.0
2024-04-29,Ang Mo Kio,208.1,192.0,189.4,267.0,221.1,15,200.04999999999995,214.125,856.5,18,0.8229838658936565,-0.5680647467311557,18.0
2024-05-06,Ang Mo Kio,156.8,208.1,192.0,189.4,267.0,8,182.44999999999993,186.575,746.3,19,0.7485107481711013,-0.663122658240795,15.0
2024-05-13,Ang Mo Kio,276.4,156.8,208.1,192.0,189.4,17,216.5999999999999,208.325,833.3,20,0.6631226582407952,-0.7485107481711012,8.0
2024-05-20,Ang Mo Kio,191.8,276.4,156.8,208.1,192.0,8,234.0999999999999,208.275,833.1,21,0.5680647467311558,-0.8229838658936564,17.0
2024-05-27,Ang Mo Kio,195.4,191.8,276.4,156.8,208.1,15,193.5999999999999,205.1,820.4,22,0.46472317204376906,-0.8854560256532096,8.0
2024-06-03,Ang Mo Kio,127.4,195.4,191.8,276.4,156.8,15,161.39999999999992,197.75,791.0,23,0.35460488704253584,-0.9350162426854147,15.0
2024-06-10,Ang Mo Kio,84.9,127.4,195.4,191.8,276.4,16,106.14999999999992,149.87500000000003,599.5000000000001,24,0.23931566428755768,-0.970941817426052,15.0
2024-06-17,Ang Mo Kio,149.5,84.9,127.4,195.4,191.8,10,117.19999999999992,139.3,557.2,25,0.12053668025532308,-0.992708874098054,16.0
2024-06-24,Ang Mo Kio,178.9,149.5,84.9,127.4,195.4,18,164.19999999999993,135.175,540.7,26,-3.216245299353273e-16,-1.0,10.0
2024-07-01,Ang Mo Kio,160.5,178.9,149.5,84.9,127.4,15,169.69999999999993,143.45,573.8,27,-0.12053668025532283,-0.992708874098054,18.0
2024-07-08,Ang Mo Kio,114.4,160.5,178.9,149.5,84.9,9,137.44999999999993,150.82500000000002,603.3000000000001,28,-0.23931566428755743,-0.9709418174260521,15.0
2024-07-15,Ang Mo Kio,86.2,114.4,160.5,178.9,149.5,6,100.29999999999993,135.0,540.0,29,-0.3546048870425356,-0.9350162426854148,9.0
2024-07-22,Ang Mo Kio,181.4,86.2,114.4,160.5,178.9,14,133.7999999999999,135.625,542.5,30,-0.46472317204376806,-0.8854560256532101,6.0
2024-07-29,Ang Mo Kio,122.1,181.4,86.2,114.4,160.5,7,151.74999999999991,126.025,504.1,31,-0.5680647467311556,-0.8229838658936565,14.0
2024-08-05,Ang Mo Kio,121.9,122.1,181.4,86.2,114.4,18,121.9999999999999,127.9,511.6,32,-0.663122658240795,-0.7485107481711013,7.0
2024-08-12,Ang Mo Kio,168.3,121.9,122.1,181.4,86.2,16,145.0999999999999,148.425,593.7,33,-0.7485107481711011,-0.6631226582407952,18.0
2024-08-19,Ang Mo Kio,103.5,168.3,121.9,122.1,181.4,15,135.89999999999992,128.95,515.8,34,-0.8229838658936564,-0.5680647467311559,16.0
2024-08-26,Ang Mo Kio,74.2,103.5,168.3,121.9,122.1,6,88.84999999999991,116.975,467.9,35,-0.8854560256532096,-0.4647231720437691,15.0
2024-09-02,Ang Mo Kio,120.5,74.2,103.5,168.3,121.9,11,97.34999999999991,116.625,466.5,36,-0.9350162426854147,-0.3546048870425359,6.0
2024-09-09,Ang Mo Kio,175.0,120.5,74.2,103.5,168.3,3,147.74999999999991,118.3,473.2,37,-0.970941817426052,-0.23931566428755774,11.0
2024-09-16,Ang Mo Kio,162.5,175.0,120.5,74.2,103.5,8,168.74999999999991,133.05,532.2,38,-0.992708874098054,-0.12053668025532357,3.0
2024-09-23,Ang Mo Kio,205.5,162.5,175.0,120.5,74.2,17,183.99999999999991,165.875,663.5,39,-1.0,-1.8369701987210297e-16,8.0
2024-09-30,Ang Mo Kio,186.3,205.5,162.5,175.0,120.5,18,195.89999999999992,182.325,729.3,40,-0.992708874098054,0.1205366802553232,17.0
2024-10-07,Ang Mo Kio,210.7,186.3,205.5,162.5,175.0,8,198.49999999999991,191.25,765.0,41,-0.9709418174260521,0.23931566428755738,18.0
2024-10-14,Ang Mo Kio,153.5,210.7,186.3,205.5,162.5,18,182.0999999999999,189.0,756.0,42,-0.9350162426854148,0.35460488704253557,8.0
2024-10-21,Ang Mo Kio,171.5,153.5,210.7,186.3,205.5,12,162.49999999999991,180.5,722.0,43,-0.8854560256532101,0.464723172043768,18.0
2024-10-28,Ang Mo Kio,150.3,171.5,153.5,210.7,186.3,23,160.89999999999992,171.5,686.0,44,-0.822983865893657,0.5680647467311548,12.0
2024-11-04,Ang Mo Kio,236.2,150.3,171.5,153.5,210.7,15,193.24999999999991,177.875,711.5,45,-0.7485107481711011,0.6631226582407952,23.0
2024-11-11,Ang Mo Kio,329.5,236.2,150.3,171.5,153.5,13,282.8499999999999,221.875,887.5,46,-0.6631226582407955,0.7485107481711007,15.0
2024-11-18,Ang Mo Kio,191.2,329.5,236.2,150.3,171.5,8,260.3499999999999,226.8,907.2,47,-0.5680647467311559,0.8229838658936564,13.0
2024-11-25,Ang Mo Kio,315.2,191.2,329.5,236.2,150.3,15,253.1999999999999,268.025,1072.1,48,-0.4647231720437684,0.88545602565321,8.0
2024-12-02,Ang Mo Kio,177.0,315.2,191.2,329.5,236.2,11,246.0999999999999,253.225,1012.9,49,-0.35460488704253595,0.9350162426854147,15.0
2024-12-09,Ang Mo Kio,206.4,177.0,315.2,191.2,329.5,21,191.69999999999993,222.45,889.8,50,-0.2393156642875578,0.970941817426052,11.0
2024-12-16,Ang Mo Kio,185.4,206.4,177.0,315.2,191.2,16,195.89999999999992,221.0,884.0,51,-0.12053668025532363,0.992708874098054,21.0
2024-12-23,Ang Mo Kio,201.6,185.4,206.4,177.0,315.2,7,193.49999999999991,192.6,770.4,52,6.432490598706546e-16,1.0,16.0
2022-01-31,Bedok,202.6,156.9,165.6,198.4,208.4,11,179.75,180.875,723.5,5,0.5680647467311558,0.8229838658936564,5.0
2022-02-07,Bedok,169.4,202.6,156.9,165.6,198.4,13,186.0,173.625,694.5,6,0.6631226582407952,0.7485107481711011,11.0
2022-02-14,Bedok,132.8,169.4,202.6,156.9,165.6,7,151.10000000000002,165.425,661.7,7,0.7485107481711011,0.6631226582407953,13.0
2022-02-21,Bedok,133.5,132.8,169.4,202.6,156.9,11,133.15,159.575,638.3,8,0.8229838658936564,0.5680647467311559,7.0
2022-02-28,Bedok,148.9,133.5,132.8,169.4,202.6,9,141.2,146.15,584.6,9,0.8854560256532099,0.4647231720437686,11.0
2022-03-07,Bedok,64.9,148.9,133.5,132.8,169.4,8,106.9,120.025,480.1,10,0.9350162426854148,0.35460488704253557,9.0
2022-03-14,Bedok,139.7,64.9,148.9,133.5,132.8,7,102.3,121.75,487.0,11,0.970941817426052,0.23931566428755804,8.0
2022-03-21,Bedok,171.8,139.7,64.9,148.9,133.5,9,155.75,131.325,525.3,12,0.992708874098054,0.120536680255323,7.0
2022-03-28,Bedok,183.6,171.8,139.7,64.9,148.9,7,177.7,140.0,560.0,13,1.0,-1.6081226496766364e-16,9.0
2022-04-04,Bedok,161.3,183.6,171.8,139.7,64.9,12,172.45,164.1,656.4,14,0.992708874098054,-0.12053668025532288,7.0
2022-04-11,Bedok,252.0,161.3,183.6,171.8,139.7,12,206.65,192.175,768.7,15,0.9709418174260521,-0.2393156642875575,12.0
2022-04-18,Bedok,208.5,252.0,161.3,183.6,171.8,14,230.25,201.35,805.4,16,0.9350162426854148,-0.35460488704253545,12.0
2022-04-25,Bedok,180.8,208.5,252.0,161.3,183.6,20,194.65,200.65,802.6,17,0.8854560256532099,-0.4647231720437685,14.0
2022-05-02,Bedok,167.7,180.8,208.5,252.0,161.3,16,174.25,202.25,809.0,18,0.8229838658936565,-0.5680647467311557,20.0
2022-05-09,Bedok,151.0,167.7,180.8,208.5,252.0,16,159.35,177.0,708.0,19,0.7485107481711013,-0.663122658240795,16.0
2022-05-16,Bedok,172.0,151.0,167.7,180.8,208.5,14,161.5,167.875,671.5,20,0.6631226582407952,-0.7485107481711012,16.0
2022-05-23,Bedok,141.6,172.0,151.0,167.7,180.8,18,156.8,158.075,632.3,21,0.5680647467311558,-0.8229838658936564,14.0
2022-05-30,Bedok,208.1,141.6,172.0,151.0,167.7,8,174.85,168.175,672.7,22,0.46472317204376906,-0.8854560256532096,18.0
2022-06-06,Bedok,104.0,208.1,141.6,172.0,151.0,9,156.05,156.425,625.7,23,0.35460488704253584,-0.9350162426854147,8.0
2022-06-13,Bedok,123.3,104.0,208.1,141.6,172.0,10,113.65,144.25,577.0,24,0.23931566428755768,-0.970941817426052,9.0
2022-06-20,Bedok,80.3,123.3,104.0,208.1,141.6,7,101.8,128.925,515.7,25,0.12053668025532308,-0.992708874098054,10.0
2022-06-27,Bedok,120.3,80.3,123.3,104.0,208.1,9,100.3,106.975,427.9,26,-3.216245299353273e-16,-1.0,7.0
